state,crop_type,R2,SM,T,P,R
DEC,C0000,-0.09719769346648333,0.13554563465873365,0.3190129914377389,0.3298166131952107,0.2156247607083167
DEC,C1100,-0.4390243902439024,0.0,0.0,0.0,1.0
DEC,R1000,-0.857514569229973,0.2635705570147109,0.2431930163150681,0.16429891795708632,0.3289375087131347
DEC,R2000,1.0,0.0,0.0,0.0,0.0
DED,C0000,-0.13628786271336257,0.36317150717541374,0.12357578359643037,0.2508125396287589,0.26244016959939714
DED,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DED,R1000,-0.18557353679613353,0.3091491626805135,0.22011106997160212,0.2895229985209156,0.18121676882696883
DED,R2000,-0.022978902110630806,0.17498360356564685,0.28655305316409196,0.2193877106194549,0.31907563265080624
DEE,C0000,-0.03258146354440683,0.22631597269281983,0.2810008626250179,0.3274209183611363,0.16526224632102604
DEE,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DEE,R1000,-0.4463429222753652,0.23019293124417384,0.20000322270661633,0.2713003669274033,0.2985034791218066
DEE,R2000,-0.1423051321365647,0.2587197339046405,0.22749295011617035,0.3342943637797527,0.17949295219943648
DEF,C0000,-0.0840696330916586,0.17281614035815954,0.29017318638132367,0.35485482779331834,0.18215584546719843
DEF,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DEF,R1000,-0.1129418629454686,0.24059257968975023,0.435642610278098,0.18335325092462357,0.14041155910752828
DEF,R2000,-0.06336163192058164,0.23172443148538918,0.3732369789035927,0.2173981876756329,0.1776404019353852
DEG,C0000,0.013697912199413409,0.4079876646797767,0.1155208887792376,0.192441514858555,0.2840499316824308
DEG,C1100,-0.4390243902439024,0.0,0.25,0.01948051948051948,0.7305194805194806
DEG,R1000,-0.6926694255080086,0.22016637585719992,0.2118376498192898,0.26797375662759365,0.30002221769591664
DEG,R2000,-0.015794230599277315,0.2712154502872038,0.3189521372823022,0.24315228160908098,0.1666801308214131
