,NUTS_ID,crop_type,Water Stress Index,Pearson Correlation
245,DE8,C1100,330,-0.5727951178022015
246,DE8,C1100,340,-0.4954604300853984
247,DE8,C1100,350,-0.5282311751405826
248,DE8,C1100,360,-0.5378645030371314
249,DE8,C1100,370,-0.5711311689187177
250,DE8,C1100,380,-0.6589293760452682
251,DE8,C1100,390,-0.6907021503293855
252,DE8,R1000,260,
253,DE8,R1000,270,
254,DE8,R1000,280,
255,DE8,R1000,290,
256,DE8,R1000,300,-0.3492628673707722
257,DE8,R1000,310,-0.37782237846145794
258,DE8,R1000,320,-0.3554623735605729
259,DE8,R1000,330,-0.24663301279736907
260,DE8,R1000,340,-0.12304039629009496
261,DE8,R1000,350,-0.003324936933751771
262,DE8,R1000,360,0.066654995921479
263,DE8,R1000,370,0.0639838666244521
264,DE8,R1000,380,-0.0524170384730312
265,DE8,R1000,390,-0.1106132264404396
266,DE8,R2000,260,
267,DE8,R2000,270,
268,DE8,R2000,280,
269,DE8,R2000,290,
270,DE8,R2000,300,-0.14990088899327308
271,DE8,R2000,310,-0.11486061873876532
272,DE8,R2000,320,-0.09586758842366994
273,DE8,R2000,330,-0.04351782067906737
274,DE8,R2000,340,0.027080060035968165
275,DE8,R2000,350,0.10768359227581153
276,DE8,R2000,360,0.19367187443100142
277,DE8,R2000,370,0.2163656497386164
278,DE8,R2000,380,0.12812205397240756
279,DE8,R2000,390,0.07226927127641632
280,DE9,C0000,260,
281,DE9,C0000,270,
282,DE9,C0000,280,
283,DE9,C0000,290,
284,DE9,C0000,300,
285,DE9,C0000,310,
286,DE9,C0000,320,
287,DE9,C0000,330,-0.564414726264395
288,DE9,C0000,340,-0.5631261468153813
289,DE9,C0000,350,-0.4131529165810718
290,DE9,C0000,360,-0.47081064284893487
291,DE9,C0000,370,-0.4514025710184581
292,DE9,C0000,380,-0.37777960194420507
293,DE9,C0000,390,-0.21885900832991692
294,DE9,C1100,260,
295,DE9,C1100,270,
296,DE9,C1100,280,
297,DE9,C1100,290,
298,DE9,C1100,300,
299,DE9,C1100,310,
300,DE9,C1100,320,
301,DE9,C1100,330,-0.5609394868233073
302,DE9,C1100,340,-0.44341874788678287
303,DE9,C1100,350,-0.5174331642629726
304,DE9,C1100,360,-0.5997961972526884
305,DE9,C1100,370,-0.6529800783969006
306,DE9,C1100,380,-0.5176818335968807
307,DE9,C1100,390,-0.6466767976094466
308,DE9,R1000,260,
309,DE9,R1000,270,
310,DE9,R1000,280,
311,DE9,R1000,290,
312,DE9,R1000,300,
313,DE9,R1000,310,
314,DE9,R1000,320,
315,DE9,R1000,330,-0.31947056473124813
316,DE9,R1000,340,-0.28342033880395573
317,DE9,R1000,350,-0.2987586492518276
318,DE9,R1000,360,-0.2146158360035575
319,DE9,R1000,370,-0.07847399938948967
320,DE9,R1000,380,0.036306530503176795
321,DE9,R1000,390,0.029305042981144093
322,DE9,R2000,260,
323,DE9,R2000,270,
324,DE9,R2000,280,
325,DE9,R2000,290,
326,DE9,R2000,300,
327,DE9,R2000,310,
328,DE9,R2000,320,
329,DE9,R2000,330,0.30906249146348885
330,DE9,R2000,340,0.21343121561312875
331,DE9,R2000,350,-0.028380185156020286
332,DE9,R2000,360,0.007725051938455305
333,DE9,R2000,370,-0.019019881282392823
334,DE9,R2000,380,-0.03193257763394115
335,DE9,R2000,390,0.048655577229873584
336,DEA,C0000,260,
337,DEA,C0000,270,
338,DEA,C0000,280,
339,DEA,C0000,290,
340,DEA,C0000,300,
341,DEA,C0000,310,
342,DEA,C0000,320,
343,DEA,C0000,330,
344,DEA,C0000,340,-0.4424534055965816
345,DEA,C0000,350,-0.5518871323063642
346,DEA,C0000,360,-0.6420621862715018
347,DEA,C0000,370,-0.39619488464339625
348,DEA,C0000,380,-0.3740195163717135
349,DEA,C0000,390,-0.2550567434809938
350,DEA,C1100,260,
351,DEA,C1100,270,
352,DEA,C1100,280,
353,DEA,C1100,290,
354,DEA,C1100,300,
355,DEA,C1100,310,
356,DEA,C1100,320,
357,DEA,C1100,330,
358,DEA,C1100,340,-0.306176265147752
359,DEA,C1100,350,-0.47944248912051896
360,DEA,C1100,360,-0.5608505072048499
361,DEA,C1100,370,-0.4928831226986176
362,DEA,C1100,380,-0.5115305193067896
363,DEA,C1100,390,-0.5940763108896718
364,DEA,R1000,260,
365,DEA,R1000,270,
366,DEA,R1000,280,
367,DEA,R1000,290,
368,DEA,R1000,300,
369,DEA,R1000,310,
370,DEA,R1000,320,
371,DEA,R1000,330,
372,DEA,R1000,340,-0.07159103186918726
373,DEA,R1000,350,-0.09793899826215752
374,DEA,R1000,360,0.07546153278979768
375,DEA,R1000,370,0.10851275949865938
376,DEA,R1000,380,0.1849426844370874
377,DEA,R1000,390,0.13345966674239954
378,DEA,R2000,260,
379,DEA,R2000,270,
380,DEA,R2000,280,
381,DEA,R2000,290,
382,DEA,R2000,300,
383,DEA,R2000,310,
384,DEA,R2000,320,
385,DEA,R2000,330,
386,DEA,R2000,340,0.2848317171083213
387,DEA,R2000,350,0.03749900239048584
388,DEA,R2000,360,0.00898569876285599
389,DEA,R2000,370,-0.023183628890176902
390,DEA,R2000,380,0.02065028865041589
391,DEA,R2000,390,0.05072095558120938
392,DEB,C0000,260,
393,DEB,C0000,270,
394,DEB,C0000,280,
395,DEB,C0000,290,
396,DEB,C0000,300,
397,DEB,C0000,310,0.167717006018864
398,DEB,C0000,320,-0.051001745127412124
399,DEB,C0000,330,-0.19933229959890464
400,DEB,C0000,340,-0.26214826813927966
401,DEB,C0000,350,-0.37269641392193514
402,DEB,C0000,360,-0.34493641358644195
403,DEB,C0000,370,-0.4151351277480039
404,DEB,C0000,380,-0.25131513393219007
405,DEB,C0000,390,-0.12244738059339456
406,DEB,C1100,260,
407,DEB,C1100,270,
408,DEB,C1100,280,
409,DEB,C1100,290,
410,DEB,C1100,300,
